CID,Name,B3LYPLUMO,SMILES,Minimum Adsorption energy (100),Minimum Adsorption energy (110),Minimum Adsorption energy (111),Optimization score,dissociated
58998286,H12C5N2,2.255314379,CN(C)CCN[CH],-0.766699167,-0.514289287,-0.293749231,-1.390113471,FALSE
64566377,H17C9O1F3,1.448357237,CCCCCC(CCC(F)(F)F)O,-1.593597307,-1.023024586,-1.114970013,-1.346110603,FALSE
6213,H6C2S1O2,1.269475414,CS(=O)(=O)C,-1.565415378,-0.367801385,-1.97910923,-1.286792039,FALSE
22149151,H9C4S1N1O2,1.058792475,C1CC1CS(=O)(=O)N,-1.487909487,-1.203782996,-1.090871703,-1.159823602,FALSE
123070,H4C1,3.598918452,[2H]C([2H])([2H])[2H],1.129232116,1.905253149,1.289390937,-1.078813192,FALSE
65098138,H25C11S1N1O2,1.114444792,CCC(C(C)CCCS(=O)(=O)CC)NC,-0.610005936,-1.1742425,-1.321199439,-1.074797042,FALSE
60650154,H18C8N2O3,1.265500457,CCCNC(=O)NCC(OC)OC,-0.642954677,-0.969382525,-0.562065883,-0.995150743,FALSE
116091,H16C8N4O2,0.796432176,CCOC(=O)N1CCN(CC1)C(=N)N,-1.251586003,-1.311151255,-0.850246032,-0.967046636,FALSE
20055326,H10C8,2.275190624,C1C2CC13C24CC3C4,0.08927892,0.647116773,0.794809658,-0.88239442,FALSE
18783115,H15C6S1N1O2,0.919661681,CCCCC(C)S(=O)(=O)N,-1.054337695,-0.691673878,-0.640811149,-0.857634628,FALSE
9088,H8C5,3.070222897,C1CC12CC2,0.90969548,1.38938368,1.885684816,-0.837650786,FALSE
63250932,H26C13N2,2.179787278,CNCC1CCN(CC1)C2CCCCC2,0.760990956,0.366923162,0.508268594,-0.81719652,FALSE
70042798,H20C9N4,1.074692302,CCCCN1CCN(CC1)C(=N)N,-0.420920656,-0.556192123,-0.629510138,-0.805116637,FALSE
4638544,H28C13O2,2.243389509,CCOCCCCCCCCCOCC,1.115414011,0.651271986,0.155147932,-0.8013891,FALSE
135979,H10C7,2.744260366,C1CC2CC23C1C3,0.716146114,1.185288437,1.538991714,-0.798725806,FALSE
12838325,H22C10O1,2.271215667,CCCCCCCOC(C)C,0.822039137,0.693373919,0.537581137,-0.793442135,FALSE
53629287,H10C7,1.706742579,C1C[C+]2CC[C-]1C2,-0.130165883,0.264397374,0.400452573,-0.764257279,FALSE
68396090,H13C6S1N1O1,0.390966126,C[S@](=O)N1CCCCC1,-1.341419532,-0.985881751,-1.059369041,-0.759928117,FALSE
63631951,H26C13N2,1.985004166,CN(CC1CCCC1)CC2CCNCC2,0.498798855,0.528381658,0.435959647,-0.74864539,FALSE
23384736,H20C10O1,2.12413496,CCOC1(CCCC1)C(C)C,0.466587627,0.787181923,0.725247996,-0.732231222,FALSE
