CID,Name,B3LYPLUMO,SMILES,Minimum Adsorption energy (100),Minimum Adsorption energy (110),Minimum Adsorption energy (111),Optimization score,e_above_hull (eV)
21797981,C2Cl1O5F5,-3.225278387,C(C(OF)(OF)Cl)(OF)(OF)OF,-24.38570503,-22.99358567,-24.45755022,-13.58544601,0.424946049
23413867,P1N3F6,-1.47557396,N(F)(F)P(N(F)F)N(F)F,-21.09917589,-20.50573975,-21.21505076,-11.20778138,0.987767032
140187,C1N4F8,-0.176216771,C(N(F)F)(N(F)F)(N(F)F)N(F)F,-19.69389984,-21.40339341,-22.00010011,-10.60434061,0.674206732
533974,H1C1N4F7,0.063721531,C(NF)(N(F)F)(N(F)F)N(F)F,-19.93148793,-19.94564644,-22.04051586,-10.28774761,0.557572658
19738565,C2N1O5F5,-3.50582228,C1(C(N1OF)(OF)OF)(OF)OF,-15.54919782,-15.37161589,-18.07259801,-9.918479759,0.397547012
23233314,C2O4F6,-2.191697695,C(OOC(OF)(F)F)(OF)(F)F,-17.24671548,-16.76419337,-18.51111758,-9.849519919,0
54457236,C2S1N2O2F4,-2.391031764,C(=O)(N(F)F)SC(=O)N(F)F,-17.88601984,-15.97929673,-17.967869,-9.834380142,0.513548072
19350253,P1O4F3,-3.775291304,O=P(OF)(OF)OF,-15.3021625,-15.10803389,-17.16555821,-9.816938087,0.379351145
21933605,H1C2O8F3,-2.90043909,C(=O)(C(OOF)(OOF)OOF)O,-12.20570855,-15.29826187,-20.09450648,-9.383299029,0.497893208
6422684,C2N4F8,0.263055599,C1(N(N1F)C(N(F)F)(F)F)(N(F)F)F,-18.17463355,-17.77180988,-19.25294041,-9.068369507,0.328412185
21217296,B1O3F3,-2.845068817,B(OF)(OF)OF,-14.63752564,-14.2022611,-16.46150043,-8.972748937,0.129142393
12476475,H3C2S1O2F5,-1.981290115,C(C(=O)O)S(F)(F)(F)(F)F,-14.62862477,-15.82641052,-16.60909659,-8.834667038,0.44158259
139748,C1N3F7,-0.190981454,C(N(F)F)(N(F)F)(N(F)F)F,-16.97824209,-16.52975568,-18.19757925,-8.713086896,0.495714177
23233231,C3N1O1F9,-2.475932759,C(C(OF)(F)F)(C(F)(F)F)(N(F)F)F,-14.49921722,-13.62337784,-15.01530994,-8.427617213,0
23233222,C2N3O1F7,-0.729919502,C(=O)(N(C(N(F)F)(N(F)F)F)F)F,-16.14985817,-14.98848049,-16.43584263,-8.293989967,0.197807522
23234882,H6C4N3F5,-0.641327336,CC(=NF)C(C)(N(F)F)N(F)F,-15.47175181,-15.87995475,-16.34499207,-8.270113439,0.20253346
23233315,C2N1O1F7,-2.431635998,C(C(OF)(F)F)(N(F)F)(F)F,-13.13205088,-13.42810194,-15.57158191,-8.237773786,0
550380,C2N2Cl2F6,-2.69372268,C(C(N(Cl)Cl)(F)F)(N(F)F)(F)F,-13.53668828,-13.06689248,-14.06887277,-8.125603595,0.027634397
15740021,C3O2F8,-2.132636252,C(C(OF)(F)F)(C(OF)(F)F)(F)F,-13.4161623,-13.7061657,-15.16615664,-8.114398899,0
18470599,C2N1O3F3,-3.288031002,C(=O)(C(=O)OF)N(F)F,-12.39092443,-11.88981035,-14.06930223,-8.035688335,0.122516133
21023168,H2S2O9,-2.088339491,OOOS(=O)OS(=O)OOO,-12.38127579,-13.23663758,-15.45931031,-7.890373691,0.672936279
